Model	Transcription factor
SNAI1_HUMAN.H11MO.0.C	SNAI1
SOX17_HUMAN.H11MO.0.C	SOX17
SOX5_HUMAN.H11MO.0.C	SOX5
TBX3_HUMAN.H11MO.0.C	TBX3
TFDP1_HUMAN.H11MO.0.C	TFDP1
TFEB_HUMAN.H11MO.0.C	TFEB
THAP1_HUMAN.H11MO.0.C	THAP1
THA_HUMAN.H11MO.0.C	THRA
THB_HUMAN.H11MO.0.C	THRB
VEZF1_HUMAN.H11MO.0.C	VEZF1
VEZF1_HUMAN.H11MO.1.C	VEZF1
WT1_HUMAN.H11MO.0.C	WT1
Z324A_HUMAN.H11MO.0.C	ZNF324
Z354A_HUMAN.H11MO.0.C	ZNF354A
ZBT14_HUMAN.H11MO.0.C	ZBTB14
ZBT18_HUMAN.H11MO.0.C	ZBTB18
ZBT48_HUMAN.H11MO.0.C	ZBTB48
ZBTB6_HUMAN.H11MO.0.C	ZBTB6
ZFP28_HUMAN.H11MO.0.C	ZFP28
ZFP82_HUMAN.H11MO.0.C	ZFP82
ZIM3_HUMAN.H11MO.0.C	ZIM3
ZN121_HUMAN.H11MO.0.C	ZNF121
ZN134_HUMAN.H11MO.0.C	ZNF134
ZN134_HUMAN.H11MO.1.C	ZNF134
ZN136_HUMAN.H11MO.0.C	ZNF136
ZN140_HUMAN.H11MO.0.C	ZNF140
ZN214_HUMAN.H11MO.0.C	ZNF214
ZN250_HUMAN.H11MO.0.C	ZNF250
ZN257_HUMAN.H11MO.0.C	ZNF257
ZN260_HUMAN.H11MO.0.C	ZNF260
ZN264_HUMAN.H11MO.0.C	ZNF264
ZN317_HUMAN.H11MO.0.C	ZNF317
ZN320_HUMAN.H11MO.0.C	ZNF320
ZN329_HUMAN.H11MO.0.C	ZNF329
ZN331_HUMAN.H11MO.0.C	ZNF331
ZN341_HUMAN.H11MO.0.C	ZNF341
ZN341_HUMAN.H11MO.1.C	ZNF341
ZN350_HUMAN.H11MO.0.C	ZNF350
ZN382_HUMAN.H11MO.0.C	ZNF382
ZN384_HUMAN.H11MO.0.C	ZNF384
ZN394_HUMAN.H11MO.0.C	ZNF394
ZN418_HUMAN.H11MO.0.C	ZNF418
ZN436_HUMAN.H11MO.0.C	ZNF436
ZN449_HUMAN.H11MO.0.C	ZNF449
ZN467_HUMAN.H11MO.0.C	ZNF467
ZN490_HUMAN.H11MO.0.C	ZNF490
ZN502_HUMAN.H11MO.0.C	ZNF502
ZN528_HUMAN.H11MO.0.C	ZNF528
ZN547_HUMAN.H11MO.0.C	ZNF547
ZN549_HUMAN.H11MO.0.C	ZNF549
ZN554_HUMAN.H11MO.0.C	ZNF554
ZN563_HUMAN.H11MO.0.C	ZNF563
ZN563_HUMAN.H11MO.1.C	ZNF563
ZN582_HUMAN.H11MO.0.C	ZNF582
ZN586_HUMAN.H11MO.0.C	ZNF586
ZN667_HUMAN.H11MO.0.C	ZNF667
ZN680_HUMAN.H11MO.0.C	ZNF680
ZN708_HUMAN.H11MO.0.C	ZNF708
ZN768_HUMAN.H11MO.0.C	ZNF768
ZN770_HUMAN.H11MO.0.C	ZNF770
ZN770_HUMAN.H11MO.1.C	ZNF770
ZN816_HUMAN.H11MO.0.C	ZNF816
ZN816_HUMAN.H11MO.1.C	ZNF816
ZNF18_HUMAN.H11MO.0.C	ZNF18
ZNF41_HUMAN.H11MO.0.C	ZNF41
ZNF41_HUMAN.H11MO.1.C	ZNF41
ZNF76_HUMAN.H11MO.0.C	ZNF76
ZNF85_HUMAN.H11MO.0.C	ZNF85
ZNF85_HUMAN.H11MO.1.C	ZNF85
ZNF8_HUMAN.H11MO.0.C	ZNF8
ZSC22_HUMAN.H11MO.0.C	ZSCAN22
ZSC31_HUMAN.H11MO.0.C	ZSCAN31
ALX3_HUMAN.H11MO.0.D	ALX3
ALX4_HUMAN.H11MO.0.D	ALX4
AP2D_HUMAN.H11MO.0.D	TFAP2D
ARI3A_HUMAN.H11MO.0.D	ARID3A
ARNT2_HUMAN.H11MO.0.D	ARNT2
ARX_HUMAN.H11MO.0.D	ARX
ASCL2_HUMAN.H11MO.0.D	ASCL2
ATF7_HUMAN.H11MO.0.D	ATF7
BARH1_HUMAN.H11MO.0.D	BARHL1
BARH2_HUMAN.H11MO.0.D	BARHL2
BARX1_HUMAN.H11MO.0.D	BARX1
BARX2_HUMAN.H11MO.0.D	BARX2
BCL6B_HUMAN.H11MO.0.D	BCL6B
BHE22_HUMAN.H11MO.0.D	BHLHE22
BHE23_HUMAN.H11MO.0.D	BHLHE23
BHE41_HUMAN.H11MO.0.D	BHLHE41
BPTF_HUMAN.H11MO.0.D	BPTF
BRCA1_HUMAN.H11MO.0.D	BRCA1
BSH_HUMAN.H11MO.0.D	BSX
CDC5L_HUMAN.H11MO.0.D	CDC5L
CEBPZ_HUMAN.H11MO.0.D	CEBPZ
CENPB_HUMAN.H11MO.0.D	CENPB
CPEB1_HUMAN.H11MO.0.D	CPEB1
CR3L1_HUMAN.H11MO.0.D	CREB3L1
CR3L2_HUMAN.H11MO.0.D	CREB3L2
CREB3_HUMAN.H11MO.0.D	CREB3
CREB5_HUMAN.H11MO.0.D	CREB5
CUX2_HUMAN.H11MO.0.D	CUX2
CXXC1_HUMAN.H11MO.0.D	CXXC1
DDIT3_HUMAN.H11MO.0.D	DDIT3
DLX1_HUMAN.H11MO.0.D	DLX1
DLX2_HUMAN.H11MO.0.D	DLX2
DLX4_HUMAN.H11MO.0.D	DLX4
DLX5_HUMAN.H11MO.0.D	DLX5
DLX6_HUMAN.H11MO.0.D	DLX6
DMBX1_HUMAN.H11MO.0.D	DMBX1
DMRT1_HUMAN.H11MO.0.D	DMRT1
DPRX_HUMAN.H11MO.0.D	DPRX
DRGX_HUMAN.H11MO.0.D	DRGX
DUXA_HUMAN.H11MO.0.D	DUXA
E2F8_HUMAN.H11MO.0.D	E2F8
E4F1_HUMAN.H11MO.0.D	E4F1
EGR3_HUMAN.H11MO.0.D	EGR3
EGR4_HUMAN.H11MO.0.D	EGR4
ELK3_HUMAN.H11MO.0.D	ELK3
EMX1_HUMAN.H11MO.0.D	EMX1
EMX2_HUMAN.H11MO.0.D	EMX2
EOMES_HUMAN.H11MO.0.D	EOMES
ESX1_HUMAN.H11MO.0.D	ESX1
ETV3_HUMAN.H11MO.0.D	ETV3
ETV6_HUMAN.H11MO.0.D	ETV6
ETV7_HUMAN.H11MO.0.D	ETV7
FIGLA_HUMAN.H11MO.0.D	FIGLA
FOXB1_HUMAN.H11MO.0.D	FOXB1
FOXC2_HUMAN.H11MO.0.D	FOXC2
FOXD1_HUMAN.H11MO.0.D	FOXD1
FOXD2_HUMAN.H11MO.0.D	FOXD2
FOXD3_HUMAN.H11MO.0.D	FOXD3
FOXF1_HUMAN.H11MO.0.D	FOXF1
FOXF2_HUMAN.H11MO.0.D	FOXF2
FOXG1_HUMAN.H11MO.0.D	FOXG1
FOXL1_HUMAN.H11MO.0.D	FOXL1
FOXO6_HUMAN.H11MO.0.D	FOXO6
FOXP3_HUMAN.H11MO.0.D	FOXP3
FUBP1_HUMAN.H11MO.0.D	FUBP1
